,select_random_ranges.lua_threads128,oltp_point_select.lua_threads128,oltp_update_index.lua_threads64,oltp_delete.lua_threads64,oltp_read_write.lua_threads64,oltp_update_index.lua_threads128,select_random_points.lua_threads128,oltp_read_only.lua_threads64,oltp_update_non_index.lua_threads64,oltp_delete.lua_threads128,oltp_point_select.lua_threads64,oltp_read_only.lua_threads128,select_random_ranges.lua_threads64,oltp_insert.lua_threads128,select_random_points.lua_threads64,oltp_write_only.lua_threads128,oltp_write_only.lua_threads64,oltp_insert.lua_threads64,oltp_update_non_index.lua_threads128,oltp_read_write.lua_threads128
l1i_cache_mpki,17.979613672910542,104.56636994181761,11.895213595881597,46.896181595125825,35.739602732294074,9.93622709433343,21.730756169504257,33.78435969888223,60.49955563604084,37.624512209731535,102.72665558053382,34.40607177015809,17.71197251499445,38.07300970512437,21.592614396690095,35.8788921321064,44.96456021925336,42.86823201131753,59.1245413984973,35.44823473082089
l1d_cache_mpki,8.430048148189687,22.009877270107136,4.056848587111905,12.771406000022214,10.048834432985783,4.077158454547227,9.739309221666558,9.221935665489784,16.215962554659477,10.43794905677796,21.562461345993825,9.369258191702043,8.40998588074712,12.651548973328786,9.825040167308451,9.65331441959378,12.318563334149427,13.563781642460809,15.875866117967623,9.777097323246887
l1d_cache_misses,9635187962.0,33672179546.0,203857462.0,101358957.0,1098458552.0,277230654.0,8645367182.0,36373731426.0,84666342.0,125590553.0,33847305386.0,30635965158.0,12736168640.0,184417106.0,13829787164.0,331992490.0,392647506.0,104595060.0,91558167.0,1325580037.0
l1d_cache,500761908318.0,683963644874.0,12354397971.0,2670471504.0,43501489170.0,18134343385.0,376015769038.0,1580884267368.0,1975189064.0,3464468108.0,697516230028.0,1313069922602.0,662533996569.0,4363254120.0,596579743831.0,11354044412.0,11518249922.0,2497791848.0,2162709476.0,52503731793.0
l1i_cache_load_misses,20549936866.0,159972613202.0,597736889.0,372186747.0,3906768743.0,675624155.0,19289906702.0,133254369870.0,315878632.0,452702276.0,161253412907.0,112502312820.0,26823192345.0,554976650.0,30393897260.0,1233930878.0,1433220900.0,330571917.0,340978854.0,4806075950.0
l1d_cache_miss,0.019241056082647052,0.04923094933240655,0.01650080096808628,0.03795545350256619,0.025251056296195295,0.015287603643223943,0.022992033563162356,0.023008472015828393,0.042864930523936924,0.03625103452676955,0.04852547357162039,0.02333155655358497,0.019223419033522128,0.04226595585040094,0.02318179138163585,0.029240020379796977,0.03408916360201895,0.041875010555323104,0.04233493588299236,0.025247348935618544
l1i_cache_loads,360842282792.0,649591590246.0,11717423592.0,2499122051.0,35618364418.0,17229188890.0,293397973931.0,1207844945412.0,1933254482.0,3256955776.0,653242959672.0,1012201398664.0,475800739548.0,5015716585.0,461317676126.0,11167550715.0,11321476292.0,2782511105.0,2097759716.0,43394875588.0
l1i_cache_load_miss,0.05694991370466854,0.24626644741724327,0.05101265515467933,0.1489269989239113,0.10968411399108731,0.039213926976686596,0.06574655729059845,0.11032406963838101,0.16339216328789558,0.13899552438995105,0.24685059443727797,0.11114617404055288,0.05637484374337339,0.11064752973876414,0.06588496134645944,0.11049252512841622,0.12659311056569053,0.11880344930375399,0.16254428541042687,0.11075215413980875
l2_cache_misses,29051734020.0,130040021616.0,646198790.0,381817418.0,3843391552.0,760894444.0,26635941690.0,121148030747.0,340304210.0,465145894.0,122167786510.0,107018066807.0,37479227635.0,607653929.0,41434929901.0,1226184190.0,1440452766.0,362603080.0,367077262.0,4745947830.0
l2_cache,64030526576.0,290809774511.0,1476223385.0,792581654.0,8328911271.0,1873133097.0,58891261936.0,272943125060.0,675002244.0,979122887.0,286120171918.0,233350729153.0,84827335909.0,1343280127.0,93223561823.0,2691156562.0,3070406400.0,772407685.0,735867997.0,10217506620.0
l2_cache_miss,0.4537169311815281,0.447165236569726,0.4377378089021398,0.48173890484727266,0.4614518545037337,0.40621483076597414,0.4522902178415972,0.4438581507424615,0.5041527091575121,0.475063855799747,0.42698068329489336,0.45861466640985704,0.44182959694981455,0.4523657551289002,0.4444684271951646,0.4556346543765297,0.46914075153048146,0.4694451997846189,0.49883574703140676,0.4644917793065252
l3_cache_misses,693476938.0,2017149401.0,41544099.0,16622314.0,141908146.0,55991730.0,879622705.0,2922199368.0,15435944.0,23174354.0,1306311392.0,3559555313.0,664376618.0,28802028.0,1104660821.0,61430936.0,65681684.0,16607810.0,18113564.0,206490448.0
l3_cache,11659369802.0,42658138007.0,295313427.0,134121314.0,1384115016.0,414606104.0,11329195580.0,39267843034.0,129096298.0,162857056.0,38011485993.0,35368481072.0,14885457424.0,291888042.0,17539171946.0,515773680.0,587297288.0,161518715.0,135693715.0,1696082692.0
l3_cache_miss,0.05947808070047181,0.04728639118446743,0.14067798888128444,0.1239349176075027,0.1025262672246018,0.13504801173887204,0.07764211490468417,0.07441710932453861,0.11956922265888678,0.14229874080494245,0.0343662279406957,0.10064201812211768,0.04463259670669023,0.09867491591176593,0.06298249566177097,0.11910444131232133,0.11183719956152768,0.10282282149161476,0.13348859967464227,0.12174550744133175
dtlb_misses,2305868592.0,11488635916.0,78208890.0,40140438.0,328907110.0,134207025.0,2560227072.0,10141948828.0,30977413.0,50141314.0,11722540398.0,8299240374.0,3028650781.0,65657962.0,3653435355.0,133706112.0,144028808.0,38628588.0,34325158.0,408186798.0
dtlb,571552659476.0,851452377244.0,13510032111.0,3793209360.0,49870588448.0,19934644598.0,444852382434.0,1782718085024.0,2540845135.0,5027348914.0,861067686177.0,1489250838366.0,754220389476.0,5389583756.0,703171081672.0,13254105552.0,13749721324.0,3195313570.0,2959753604.0,61438332797.0
dtlb_miss,0.004034393950881136,0.013492987068973455,0.005788949231017857,0.010582183631435519,0.006595212132757387,0.006732351025383452,0.005755228415304362,0.005689036821468866,0.012191775316522784,0.009973708779266956,0.01361395925800696,0.005572761928478008,0.004015604488104832,0.012182380861398752,0.005195656434438206,0.010087901554384724,0.010475034701146937,0.012089138406532038,0.011597302543566732,0.006643845615874712
itlb_misses,791114264.0,7105456074.0,17504838.0,9421295.0,153468994.0,20241168.0,821683922.0,5421409057.0,8708658.0,11019528.0,6889771463.0,4603186954.0,1022602198.0,17638615.0,1285837795.0,46727334.0,50031270.0,9110386.0,7645048.0,190249951.0
itlb,360684427273.0,649726807034.0,12208460320.0,3074502174.0,35339552190.0,17779478816.0,292693714838.0,1208046226438.0,1893748822.0,4296279450.0,653247888248.0,1013017673854.0,475560496702.0,5036395910.0,460850623022.0,10971291158.0,11319010036.0,2711625250.0,2187275816.0,44024475240.0
itlb_miss,0.0021933696167071005,0.01093606727793236,0.0014338284715004915,0.0030643318712449217,0.004342697756182292,0.0011384567685856287,0.002807316591867322,0.004487749672448681,0.0045986341476916305,0.002564900195214257,0.01054694793040702,0.00454403419881836,0.002150309382490178,0.003502229633094909,0.002790140081764882,0.004259055140098762,0.004420110048571036,0.003359751130802459,0.003495237292012376,0.0043214586877606135
stlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_misses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load,0.3566634923275689,0.4488216800541192,0.21731659201431372,0.3926853296783458,0.33042745425462644,0.22570505497179472,0.3507815976254736,0.3239317131225709,0.3528120270998993,0.35905763062008267,0.43993017682827146,0.3272607331120487,0.3552235891401288,0.2703757931727782,0.3494092873213183,0.2961470227614244,0.3234128903456966,0.3299990097893945,0.3976777485417708,0.3301542163296755
store,0.17505838193034318,0.21909828784074808,0.11396964411222843,0.214662696582683,0.168393314659444,0.11211737116565502,0.18780541006961768,0.16439102031949862,0.17849398832054966,0.2045145903114682,0.21486935331678164,0.1660884790529875,0.17418289009556417,0.14409797586704395,0.18760812708262248,0.15575713087740733,0.16792800746346778,0.14673512055323612,0.2028731121431295,0.1687267919405003
br,0.21968161295073152,0.24914502786330567,0.16910269446726456,0.1853030738322059,0.22140325643099149,0.17755602691022784,0.21819221264980815,0.2169163398004644,0.21892099880681942,0.16294158674579357,0.24616331634797822,0.2179760146406571,0.21926923088059228,0.21803075487713355,0.2171266112805043,0.21188600495881038,0.22259939267745465,0.22723613956022823,0.21637877843849368,0.21697216104958947
fp,0.0007341707832521284,0.0014212319177680191,0.0001550559928343373,0.00024174242224124916,0.0009126192923176058,0.00013583130986997765,0.0007670931506663427,0.0009158164344267493,0.00038688587642639663,1.662268689150475e-05,0.0014268161119131869,0.0009257785236590126,0.0007300826230143582,9.459558354438898e-05,0.0007536454615663316,0.0005779958256366238,0.0007601149314331972,7.670953112022128e-05,7.899701990779694e-05,0.0008876122636089682
int,0.5067645825820553,0.7145275115740187,0.5826182686856748,0.8400021447312342,0.584646641153722,0.5902322427780582,0.5721508194526502,0.5480691300504869,0.7754856089935298,0.788019383968124,0.7009801172716935,0.5536487888651269,0.5049234588147237,0.7199503478196857,0.5676680384151478,0.6472508788965662,0.6796753586190442,0.8308436369261867,0.8393394077023432,0.5889597025890057
vector,4.0879922615979566e-05,0.00022914850169406778,1.3807864823071434e-05,3.794089106787759e-05,5.932225062432688e-05,1.1021332027542936e-05,0.00025771714588720767,7.288099421008503e-05,1.2587210382754234e-05,4.279199514676651e-05,0.0002247918513813059,7.193729881133985e-05,4.1220281547236536e-05,3.0787405337569785e-05,4.889193259226832e-05,3.654100590568281e-05,3.816265905314586e-05,1.1520681388931926e-05,6.0362791153157195e-06,5.879465918681833e-05
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syscall_rate,0.027819272403994077,0.3105149992114829,0.2774662666703791,0.35761422076824734,0.2756108773712731,0.28451026625461906,0.02842085291556402,0.2353334386712743,0.3562632097656003,0.3706086645053918,0.30999629675045054,0.2335888684238531,0.02774130520408033,0.42254352289721775,0.028170258004745322,0.322986522280524,0.33685377357959567,0.41669114122177536,0.33929785050842143,0.2702049042697464
loads,407651264542.0,686637367826.0,10920202701.0,3116506941.0,36119697798.0,15347051310.0,311380986386.0,1277671582288.0,1842092546.0,4320220969.0,690572880558.0,1070089884606.0,537954236826.0,3941171268.0,491830668831.0,10184956505.0,10308609970.0,2544737680.0,2293458854.0,44762348561.0
stores,200084315602.0,335191186932.0,5726997667.0,1703648528.0,18407416086.0,7623537932.0,166710666215.0,648401272666.0,931947950.0,2460742082.0,337287497151.0,543082574234.0,263784350404.0,2100464674.0,264078357300.0,5356729872.0,5352613899.0,1131525790.0,1169995397.0,22875998848.0
fps,839126108.0,2174295464.0,7791595.0,1918564.0,99760273.0,9235992.0,680931450.0,3612220062.0,2019998.0,200006.0,2239720220.0,3027146655.0,1105644592.0,1378886.0,1060836002.0,19878175.0,24228250.0,591534.0,455586.0,120342578.0
ints,579210452874.0,1093131886426.0,29276685836.0,6666591076.0,63908914726.0,40133458756.0,507885498352.0,2161728303304.0,4048944339.0,9481536044.0,1100351565533.0,1810342362052.0,764661250678.0,10494458812.0,799053033616.0,22259963946.0,21664282369.0,6406925616.0,4840578592.0,79851227674.0
vector_uops,46724020.0,350566675.0,693848.0,301114.0,6484636.0,749407.0,228769752.0,287461744.0,65720.0,514878.0,352863169.0,235223380.0,62424416.0,448777.0,68820586.0,1256702.0,1216414.0,88840.0,34812.0,7971387.0
others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
