,total_ins,total_uops,cycles,cycles:k,ipc,cpi,instructions,branch_miss,branch_misses,branch_instructions,l1i_cache_mpki,l1d_cache_mpki,l1d_cache_misses,l1d_cache,l1i_cache_load_misses,l1d_cache_miss,l1i_cache_loads,l1i_cache_load_miss,l2_cache_misses,l2_cache,l2_cache_miss,l3_cache_misses,l3_cache,l3_cache_miss,dtlb_misses,dtlb,dtlb_miss,itlb_misses,itlb,itlb_miss,stlb,stlb_misses,stlb_miss,load,store,br,fp,int,vector,other,syscall_rate,loads,stores,fps,ints,vector_uops,others
oltp_point_select.lua_threads128,65606107984.0,0.0,442792448888.0,0.0,0.14816446881323042,6.749256471607615,65606107984.0,0.17801241083942976,2742644714.0,15407042133.0,108.87441796946698,776.5264102455891,2384674399.0,33475095065.0,7142826822.0,0.07123727040564269,50944875523.0,0.14020697368816298,142164437.0,21043912947.0,0.006755608491540868,0.0,0.0,,1554884109.0,0.0,inf,1162063986.0,0.0,inf,0.0,0.0,0.0,0.3839475958266441,0.17097293678411113,0.2348415811643249,0.0009592180962075587,0.49592265870938057,0.0005785817230501969,0.0,0.0,25189307432.0,11216868953.0,62930566.0,32535555499.0,37958495.0,0.0
oltp_delete.lua_threads128,38071673966.0,0.0,123017354316.0,0.0,0.3094821391476494,3.2312042392950975,38071673966.0,0.09245065488271668,803678963.0,8693058627.0,64.41895271508798,658.4508257605728,1099171708.0,16554984893.0,2452537365.0,0.06639521057278443,25068325161.0,0.09783411333819503,681456128.0,8478918861.0,0.08037063913118156,0.0,0.0,,668768890.0,0.0,inf,334132745.0,0.0,inf,0.0,0.0,0.0,0.3039179532881378,0.14180302756903473,0.2283340268873745,0.0006329142769377329,0.6665638594368919,0.0007721537021527665,0.0,0.0,11570665230.0,5398678633.0,24096106.0,25377201934.0,29397184.0,0.0
select_random_points.lua_threads64,321642666613.0,0.0,663140499440.0,0.0,0.4850294423046345,2.0617305111385913,321642666613.0,0.05235491378400459,3389856935.0,64747636659.0,25.44525174219909,491.6458005593733,7899727131.0,146367197777.0,8184278623.0,0.05397197767655394,158134266321.0,0.05175525085996582,3463376519.0,38874305687.0,0.08909166241799121,0.0,0.0,,3542008525.0,0.0,inf,1845972486.0,0.0,inf,0.0,0.0,0.0,0.29276861831052237,0.1491492386665254,0.20130300914618476,0.000630210211644251,0.5332122001816169,0.0005567273331167021,0.0,0.0,94166879094.0,47972758848.0,202702493.0,171503793937.0,179067264.0,0.0
select_random_ranges.lua_threads128,400841494201.0,0.0,618018041339.0,0.0,0.648591897628968,1.5418015606665159,400841494201.0,0.041494643000520276,3451859842.0,83188083868.0,18.98702680013364,459.99404001458294,8840255752.0,189458899445.0,7610788193.0,0.04666054631319301,184384698323.0,0.041276680018575256,1939342596.0,38400226412.0,0.050503415661996176,0.0,0.0,,4135935672.0,0.0,inf,1499465294.0,0.0,inf,0.0,0.0,0.0,0.3099992872985603,0.14181248499561697,0.2075336138386056,0.0005842779462411647,0.47537129842014403,0.0007984016540950256,0.0,0.0,124260577522.0,56844328382.0,234202845.0,190548541559.0,320032512.0,0.0
oltp_update_index.lua_threads128,140485960185.0,0.0,267864212672.0,0.0,0.5244670752528827,1.906697383277738,140485960185.0,0.038007719436354816,1122907007.0,29544182699.0,24.73057412587595,485.71675334775375,2601942951.0,51254856927.0,3474298452.0,0.05076480761044423,68236384472.0,0.050915629233340136,1304588424.0,16449438137.0,0.07930899603589299,0.0,0.0,,1475980964.0,0.0,inf,497270641.0,0.0,inf,0.0,0.0,0.0,0.25392728471246134,0.1024212331755577,0.21029989516457387,9.822038431334511e-05,0.6200018770010872,0.00036396269728780655,0.0,0.0,35673218410.0,14388745286.0,13798585.0,87101559007.0,51131649.0,0.0
oltp_read_only.lua_threads128,369714777739.0,0.0,735772978759.0,0.0,0.5024848539050506,1.9901097361015379,369714777739.0,0.0781790428554979,6065701021.0,77587302165.0,39.129522196737305,529.4781808781087,7481686305.0,179579425735.0,14466762602.0,0.04166226879487019,195755907961.0,0.07390204848827439,2862681182.0,50966891574.0,0.05616746663554334,0.0,0.0,,4875308734.0,0.0,inf,2211904754.0,0.0,inf,0.0,0.0,0.0,0.328899176196421,0.14307863433131018,0.20985718406899256,0.0007012439550983398,0.5155714764898149,0.000585972530838188,0.0,0.0,121598885826.0,52898285491.0,259260253.0,190614393839.0,216642704.0,0.0
oltp_insert.lua_threads64,63364456759.0,0.0,152812648139.0,0.0,0.41465452978318273,2.411646149200122,63364456759.0,0.06726928051702268,985043482.0,14643288503.0,44.69074447794083,579.752229403943,1386807372.0,21733297666.0,2831804746.0,0.06381025987462312,36735685071.0,0.0770859381151297,803613875.0,10111439239.0,0.07947571616713545,0.0,0.0,,785000200.0,0.0,inf,362153571.0,0.0,inf,0.0,0.0,0.0,0.2422786028986115,0.11184467325198677,0.23109625256781097,1.5310412960531003e-05,0.704264826900163,8.989367685521832e-05,0.0,0.0,15351852057.0,7086976962.0,970136.0,44625358171.0,5696064.0,0.0
select_random_points.lua_threads128,195121259513.0,0.0,372357238774.0,0.0,0.5240162918691845,1.9083376137657189,195121259513.0,0.05210106713152387,2040928773.0,39172494641.0,24.974332910532148,483.91112137480417,4756099070.0,88260614703.0,4873023293.0,0.05388699235785335,94421347495.0,0.051609338590068804,1468445524.0,22864198697.0,0.06422466597058894,0.0,0.0,,2124366443.0,0.0,inf,1108817912.0,0.0,inf,0.0,0.0,0.0,0.29025571739007083,0.14815089792957203,0.20075974672759903,0.0006258150613868112,0.5292682495580114,0.0006178385497351102,0.0,0.0,56635061158.0,28907389802.0,122109823.0,103271487474.0,120553436.0,0.0
oltp_read_write.lua_threads128,193988402002.0,0.0,486240775939.0,0.0,0.39895543854252213,2.5065456023189827,193988402002.0,0.0815867666220657,3432550408.0,42072391763.0,46.0068084271759,570.1841280637985,4393595530.0,89956896194.0,8924787248.0,0.04884111964606719,110609107850.0,0.08068763433209447,2897946427.0,32157215410.0,0.09011807739107967,0.0,0.0,,2739548676.0,0.0,inf,1307871329.0,0.0,inf,0.0,0.0,0.0,0.3191558195286422,0.1407112534166789,0.21688096468038454,0.0005763653076478627,0.5723302148076633,0.0006401635650296231,0.0,0.0,61912527420.0,27296351194.0,111808185.0,111025423788.0,124184307.0,0.0
oltp_read_write.lua_threads64,222633933979.0,0.0,538292489888.0,0.0,0.41359286663152667,2.4178366714697437,222633933979.0,0.08254817308885148,3960070936.0,47972847706.0,45.71166792102746,567.6326364332235,4909490860.0,103488036866.0,10176968458.0,0.04744017771210583,126374286904.0,0.08053037296844187,3092921046.0,36137260186.0,0.0855881444824706,0.0,0.0,,3089304928.0,0.0,inf,1494009785.0,0.0,inf,0.0,0.0,0.0,0.31961732916560676,0.14034918810690977,0.21547859685453455,0.0005821651698982486,0.5679909975310763,0.0006284460257221945,0.0,0.0,71157663360.0,31246491879.0,129609722.0,126454070245.0,139913411.0,0.0
