,readrandom_16_8192,fillrandom_1_65536,readrandom_32_65536,readrandom_32_8192,readrandom_1_8192,readrandom_1_65536,readrandom_16_65536,compact_1_65536
int,0.641047347836916,1.0000604954996692,0.6403082588476569,0.6404456268891827,0.6433275209287863,0.6427400310226271,0.6408843617248512,0.9478109362617627
vector,0.0007169653050644849,0.0005401292425047146,0.000720699006478385,0.0007214268658372163,0.0007161051886352107,0.0007206419211018644,0.0007178625511909799,0.0005194263286107365
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syscall_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loads,2086603320467.0,355121434807.0,3772822903845.0,3802275028375.0,145766785101.0,147537987420.0,2080820932013.0,249322024195.0
stores,1127907866772.0,122964354252.0,2047647898356.0,2061289204471.0,78683519610.0,79766418871.0,1124767063046.0,87592287599.0
fps,2220784362.0,206314927.0,4032092924.0,4063472615.0,154257222.0,156690271.0,2218416102.0,79126473.0
ints,5395019808033.0,849441872535.0,9758743822137.0,9832813717312.0,378244117080.0,382717077415.0,5379883371215.0,617727061589.0
vector_uops,6033941230.0,458780641.0,10983954806.0,11076125255.0,421033713.0,429103458.0,6026074332.0,338531333.0
others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
