,oltp_delete.lua_threads64,oltp_update_non_index.lua_threads128,oltp_point_select.lua_threads64,oltp_write_only.lua_threads64,oltp_update_non_index.lua_threads64,oltp_write_only.lua_threads128,select_random_ranges.lua_threads64,oltp_read_only.lua_threads64,oltp_update_index.lua_threads64,oltp_insert.lua_threads128,oltp_point_select.lua_threads128,oltp_delete.lua_threads128,select_random_points.lua_threads64,select_random_ranges.lua_threads128,oltp_update_index.lua_threads128,oltp_read_only.lua_threads128,oltp_insert.lua_threads64,select_random_points.lua_threads128,oltp_read_write.lua_threads128,oltp_read_write.lua_threads64
l1i_cache_mpki,59.64140014383441,63.52280499950417,112.61403521309533,54.43538839458825,60.97525493448453,44.470445005967306,19.303586010508184,40.43015764698617,21.136984268160088,43.065076194807574,108.87441796946698,64.41895271508798,25.44525174219909,18.98702680013364,24.73057412587595,39.129522196737305,44.69074447794083,24.974332910532148,46.0068084271759,45.71166792102746
l1d_cache_mpki,634.2113535815504,655.5099707440834,830.947251248568,597.1218069535744,647.3973809431378,554.6688312354675,475.69042335329317,548.2344992143902,449.04347102934304,564.3112411897345,776.5264102455891,658.4508257605728,491.6458005593733,459.99404001458294,485.71675334775375,529.4781808781087,579.752229403943,483.91112137480417,570.1841280637985,567.6326364332235
l1d_cache_misses,1013057662.0,1454609830.0,4800459906.0,2435115949.0,922851139.0,2581325063.0,11427004070.0,6406616547.0,1591414152.0,1412145020.0,2384674399.0,1099171708.0,7899727131.0,8840255752.0,2601942951.0,7481686305.0,1386807372.0,4756099070.0,4393595530.0,4909490860.0
l1d_cache,15844139563.0,23517947921.0,67350321745.0,39935692200.0,15034446191.0,43914048420.0,241022642006.0,153548469642.0,42905384116.0,22368214477.0,33475095065.0,16554984893.0,146367197777.0,189458899445.0,51254856927.0,179579425735.0,21733297666.0,88260614703.0,89956896194.0,103488036866.0
l1i_cache_load_misses,2191122830.0,3443046128.0,14395126787.0,5297547877.0,2125692370.0,4912391893.0,9768857951.0,12599162267.0,2574895620.0,2861163896.0,7142826822.0,2452537365.0,8184278623.0,7610788193.0,3474298452.0,14466762602.0,2831804746.0,4873023293.0,8924787248.0,10176968458.0
l1d_cache_miss,0.06393895092705074,0.061851052433921236,0.07127597584723312,0.060975929421851864,0.061382449827280104,0.05878130475040361,0.04741050041977192,0.0417237407962261,0.037091245884139284,0.06313177216053747,0.07123727040564269,0.06639521057278443,0.05397197767655394,0.04666054631319301,0.05076480761044423,0.04166226879487019,0.06381025987462312,0.05388699235785335,0.04884111964606719,0.04744017771210583
l1i_cache_loads,23299838242.0,35529776537.0,106217586577.0,58110752105.0,22569281170.0,61271045736.0,240729995549.0,170845126954.0,54702224881.0,37491793631.0,50944875523.0,25068325161.0,158134266321.0,184384698323.0,68236384472.0,195755907961.0,36735685071.0,94421347495.0,110609107850.0,126374286904.0
l1i_cache_load_miss,0.09404025930318731,0.0969059325328005,0.13552489047154714,0.09116295496275612,0.09418520483610068,0.08017476826111536,0.040580144276252325,0.07374610263477004,0.04707113148690871,0.07631440427097234,0.14020697368816298,0.09783411333819503,0.05175525085996582,0.041276680018575256,0.050915629233340136,0.07390204848827439,0.0770859381151297,0.051609338590068804,0.08068763433209447,0.08053037296844187
l2_cache_misses,623891488.0,962616092.0,1409233770.0,1417374621.0,598234270.0,1407642335.0,3939130607.0,3829230304.0,792720321.0,803508071.0,142164437.0,681456128.0,3463376519.0,1939342596.0,1304588424.0,2862681182.0,803613875.0,1468445524.0,2897946427.0,3092921046.0
l2_cache,7652802987.0,11637241898.0,43665878074.0,18697339423.0,7220478357.0,18643800844.0,50640104908.0,44956280687.0,10485163935.0,10233168170.0,21043912947.0,8478918861.0,38874305687.0,38400226412.0,16449438137.0,50966891574.0,10111439239.0,22864198697.0,32157215410.0,36137260186.0
l2_cache_miss,0.08152457198490794,0.08271857717123136,0.03227311191616918,0.07580621974784589,0.08285244279141601,0.0755018972138941,0.0777867781703135,0.0851767594089984,0.07560399874663476,0.07851997129839018,0.006755608491540868,0.08037063913118156,0.08909166241799121,0.050503415661996176,0.07930899603589299,0.05616746663554334,0.07947571616713545,0.06422466597058894,0.09011807739107967,0.0855881444824706
l3_cache_misses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3_cache,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
l3_cache_miss,,,,,,,,,,,,,,,,,,,,
dtlb_misses,620115832.0,909851604.0,3091515980.0,1391700467.0,574066967.0,1500552284.0,5347958747.0,4106171865.0,863250983.0,804947259.0,1554884109.0,668768890.0,3542008525.0,4135935672.0,1475980964.0,4875308734.0,785000200.0,2124366443.0,2739548676.0,3089304928.0
dtlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dtlb_miss,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
itlb_misses,301632491.0,468097708.0,2321520426.0,752188796.0,283057927.0,709765888.0,1978094119.0,1918457379.0,350917474.0,360935477.0,1162063986.0,334132745.0,1845972486.0,1499465294.0,497270641.0,2211904754.0,362153571.0,1108817912.0,1307871329.0,1494009785.0
itlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itlb_miss,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stlb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_misses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stlb_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load,0.3008147931290999,0.3046416730148227,0.401347516284776,0.28934173131774854,0.2998456383951148,0.27774256469396347,0.31645494922067335,0.3356293766120686,0.24572157602647696,0.23488606435551015,0.3839475958266441,0.3039179532881378,0.29276861831052237,0.3099992872985603,0.25392728471246134,0.328899176196421,0.2422786028986115,0.29025571739007083,0.3191558195286422,0.31961732916560676
store,0.1397727477273608,0.14210283435296367,0.18040966528401117,0.12836167745006527,0.14059994619179056,0.12008426924099781,0.14370076250169148,0.14619714155167748,0.09952267957272597,0.10824560196633179,0.17097293678411113,0.14180302756903473,0.1491492386665254,0.14181248499561697,0.1024212331755577,0.14307863433131018,0.11184467325198677,0.14815089792957203,0.1407112534166789,0.14034918810690977
br,0.2252033004439026,0.22804582290568715,0.24245589955101934,0.22247662083095845,0.22592425137739247,0.21623297391697982,0.20945913740308555,0.21310429370759304,0.20031824694564898,0.22892040230294758,0.2348415811643249,0.2283340268873745,0.20130300914618476,0.2075336138386056,0.21029989516457387,0.20985718406899256,0.23109625256781097,0.20075974672759903,0.21688096468038454,0.21547859685453455
fp,0.0005408029615853744,0.0005526128637908343,0.0009275547261404217,0.00031594194738532235,0.0004907718161221707,0.0001979961115063991,0.0005842165573470747,0.0007402522248926515,8.909878308588522e-05,1.5626037673090507e-05,0.0009592180962075587,0.0006329142769377329,0.000630210211644251,0.0005842779462411647,9.822038431334511e-05,0.0007012439550983398,1.5310412960531003e-05,0.0006258150613868112,0.0005763653076478627,0.0005821651698982486
int,0.6605729608644448,0.6660495384920005,0.6810458012595535,0.644438049199556,0.6670887192165639,0.6313924986861772,0.4834197319479874,0.5267752056577854,0.6038739497942346,0.7015921391226106,0.6483474908978529,0.6665638594368919,0.5332122001816169,0.47537129842014403,0.6200018770010872,0.5155714764898149,0.704264826900163,0.5292682495580114,0.5723302148076633,0.5679909975310763
vector,0.0006810172864155917,0.0008981080333770432,0.0005566152000583833,0.000671320407639399,0.0008585528286432081,0.0006579888825958677,0.000777086334819982,0.0006269034970978855,0.0002617397977640536,7.797047590572873e-05,0.0005785817230501969,0.0007721537021527665,0.0005567273331167021,0.0007984016540950256,0.00036396269728780655,0.000585972530838188,8.989367685521832e-05,0.0006178385497351102,0.0006401635650296231,0.0006284460257221945
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syscall_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loads,11051419974.0,16512106679.0,51303093541.0,28158183852.0,10453086033.0,30680608727.0,160146588574.0,104591454093.0,29933665173.0,15605395053.0,25189307432.0,11570665230.0,94166879094.0,124260577522.0,35673218410.0,121598885826.0,15351852057.0,56635061158.0,61912527420.0,71157663360.0
stores,5135011214.0,7702219913.0,23061246322.0,12491912925.0,4901533141.0,13265012091.0,72721842230.0,45559097876.0,12123797249.0,7191637299.0,11216868953.0,5398678633.0,47972758848.0,56844328382.0,14388745286.0,52898285491.0,7086976962.0,28907389802.0,27296351194.0,31246491879.0
fps,19868174.0,29952575.0,118566641.0,30746866.0,17109070.0,21871481.0,295651210.0,230683194.0,10853964.0,1038165.0,62930566.0,24096106.0,202702493.0,234202845.0,13798585.0,259260253.0,970136.0,122109823.0,111808185.0,129609722.0
ints,24268318516.0,36101039376.0,87056117280.0,62715478296.0,23255751896.0,69746263871.0,244641523577.0,164157813884.0,73563587342.0,46612482214.0,42535555499.0,25377201934.0,171503793937.0,190548541559.0,87101559007.0,190614393839.0,44625358171.0,103271487474.0,111025423788.0,126454070245.0
vector_uops,25019408.0,48679012.0,71150513.0,65331618.0,29930489.0,72684212.0,393255741.0,195360576.0,31884996.0,5180214.0,37958495.0,29397184.0,179067264.0,320032512.0,51131649.0,216642704.0,5696064.0,120553436.0,124184307.0,139913411.0
others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
